"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Nabil Fekir","FRA","Betis","La Liga","2019-2020","1666.35","26","28","MF,FW","Dribbler","2638","31","88.4","11.6","Left","6.39","0.08","9.45","6.52","0.32","0.08","","","32000000","34365813",""
"Joshua Kimmich","GER","Bayern Munich","Bundesliga","2018-2019","1944.13","23","26","DF,MF","OffensiveWideProgressor","3060","34","20.22","79.78","Right","6.39","0.09","9.13","5.98","0.27","0.09","9016985","6186311","85000000","",""
"Timo Werner","GER","RB Leipzig","Bundesliga","2017-2018","1685.61","21","25","FW","Finisher","2494","28","16.95","83.05","Right","6.37","0.08","9.37","6.01","0.34","0.09","","","64000000","",""
"Nordi Mukiele","FRA","Montpellier","Ligue 1","2017-2018","1590.91","19","24","DF","DefensiveWideProgressor","2791","31","10.62","89.38","Right","6.37","0.1","7.47","4.79","0.24","0.08","","","","",""
"Michael Barrios","COL","FC Dallas","MLS","2018","","26","30","FW,MF","Dribbler","2530","29","9.46","90.54","Right","6.36","0.1","9.41","6.49","0.33","0.09","400000","587360","2000000","","578047"
"Dele Alli","ENG","Tottenham","Premier League","2017-2018","1910.87","21","25","MF,FW","Dribbler","2958","34","7.94","92.06","Right","6.36","0.05","9.35","6.43","0.28","0.04","","","64000000","",""
"Edin Dzeko","BIH","Roma","Serie A","2018-2019","1747.43","32","35","FW","Finisher","2579","28","21.19","78.81","Right","6.35","0.1","10.17","6.82","0.36","0.11","9424123","8713511","10000000","",""
"Lorenzo Insigne","ITA","Napoli","Serie A","2019-2020","1757","28","30","FW,MF","Dribbler","2810","34","6.35","93.65","Right","6.34","0.06","9.39","6.47","0.3","0.06","9634478","6815599","48000000","37234577",""
"Mauro Manotas","COL","Houston","MLS","2018","","22","26","FW","Finisher","2627","30","12.01","87.99","Right","6.31","0.06","9.31","5.95","0.32","0.07","264328","775700","4000000","","571904"
"Lautaro Martinez","ARG","Inter","Serie A","2020-2021","1899.78","23.72","24","FW","Finisher","2374","28","18.16","81.84","Right","6.3","0.13","9.89","6.53","0.37","0.13","","","70000000","",""
"Filip Kostic","SRB","Eint Frankfurt","Bundesliga","2019-2020","1705.51","26","29","DF,MF","Playmaker","2958","33","86.54","13.46","Left","6.3","0.07","10.23","6.52","0.31","0.08","1922598","4770210","","",""
"Diego Valeri","ARG","Portland","MLS","2018","","31","35","MF,FW","Playmaker","2743","31","4.66","95.34","Right","6.28","0.08","9.95","6.24","0.33","0.09","2380000","2340921","2000000","","611219"
"Rodrigo","ESP","Valencia","La Liga","2017-2018","1797.27","26","30","FW","Finisher","2670","31","84.08","15.92","Left","6.28","0.09","9.86","6.51","0.33","0.08","","","40000000","",""
"Trent Alexander-Arnold","ENG","Liverpool","Premier League","2020-2021","1924.15","22.59","23","DF","OffensiveWideProgressor","2671","30","12.62","87.38","Right","6.25","0.13","8.99","5.84","0.3","0.12","","","110000000","",""
